question,algorithm,feature_set,train_set_size,test_set_size,test_set_ratio,perf_measure,performance,other_info,seed
1,SVM,combined,102400,102400,1:1,accuracy,0.785478515625,,1339
1,DT,parsed,204800,204800,1:1,accuracy,0.8529833984375,,1337
1,DT,parsed,204800,204800,1:1,accuracy,0.841533203125,,1338
1,DT,parsed,204800,204800,1:1,accuracy,0.862666015625,,1339
1,DT,format_agnostic,204800,204800,1:1,accuracy,0.7931591796875,,1337
1,DT,format_agnostic,204800,204800,1:1,accuracy,0.82107421875,,1338
1,DT,format_agnostic,204800,204800,1:1,accuracy,0.81533203125,,1339
1,DT,combined,204800,204800,1:1,accuracy,0.8658544921875,,1337
1,DT,combined,204800,204800,1:1,accuracy,0.8670654296875,,1338
1,DT,combined,204800,204800,1:1,accuracy,0.866552734375,,1339
1,RF,parsed,204800,204800,1:1,accuracy,0.8320654296875,,1337
1,RF,parsed,204800,204800,1:1,accuracy,0.8290234375,,1338
1,RF,parsed,204800,204800,1:1,accuracy,0.8314990234375,,1339
1,RF,format_agnostic,204800,204800,1:1,accuracy,0.8694921875,,1337
1,RF,format_agnostic,204800,204800,1:1,accuracy,0.8721337890625,,1338
1,RF,format_agnostic,204800,204800,1:1,accuracy,0.872265625,,1339
1,RF,combined,204800,204800,1:1,accuracy,0.894501953125,,1337
1,RF,combined,204800,204800,1:1,accuracy,0.9060595703125,,1338
1,RF,combined,204800,204800,1:1,accuracy,0.9036767578125,,1339
1,LGBM,parsed,204800,204800,1:1,accuracy,0.855185546875,,1337
1,LGBM,parsed,204800,204800,1:1,accuracy,0.885869140625,,1338
1,LGBM,parsed,204800,204800,1:1,accuracy,0.869677734375,,1339
1,LGBM,format_agnostic,204800,204800,1:1,accuracy,0.8696435546875,,1337
1,LGBM,format_agnostic,204800,204800,1:1,accuracy,0.86734375,,1338
1,LGBM,format_agnostic,204800,204800,1:1,accuracy,0.867177734375,,1339
1,LGBM,combined,204800,204800,1:1,accuracy,0.92974609375,,1337
1,LGBM,combined,204800,204800,1:1,accuracy,0.9280810546875,,1338
1,LGBM,combined,204800,204800,1:1,accuracy,0.930517578125,,1339
1,SVM,parsed,204800,204800,1:1,accuracy,0.7595947265625,,1337
1,SVM,parsed,204800,204800,1:1,accuracy,0.7894140625,,1338
1,SVM,parsed,204800,204800,1:1,accuracy,0.7783837890625,,1339
1,SVM,format_agnostic,204800,204800,1:1,accuracy,0.7132763671875,,1337
1,SVM,format_agnostic,204800,204800,1:1,accuracy,0.7117822265625,,1338
1,SVM,format_agnostic,204800,204800,1:1,accuracy,0.7134326171875,,1339
1,SVM,combined,204800,204800,1:1,accuracy,0.757900390625,,1337
1,SVM,combined,204800,204800,1:1,accuracy,0.7871484375,,1338
1,SVM,combined,204800,204800,1:1,accuracy,0.7952001953125,,1339
2,DT,parsed,200,161250,1:128,real-life,0.496,0.25129375,1337
